num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_min,env_runners/env_reset_timer,env_runners/env_to_module_sum_episodes_length_out,env_runners/sample,env_runners/env_step_timer,env_runners/episode_len_max,env_runners/episode_return_min,env_runners/episode_return_max,env_runners/num_env_steps_sampled,env_runners/episode_return_mean,env_runners/weights_seq_no,env_runners/num_env_steps_sampled_lifetime,env_runners/num_episodes_lifetime,env_runners/episode_len_mean,env_runners/rlmodule_inference_timer,env_runners/num_episodes,env_runners/env_to_module_sum_episodes_length_in,env_runners/episode_duration_sec_mean,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled/default_policy,env_runners/module_episode_return_mean/default_policy,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/agent_episode_return_mean/default_agent,env_runners/num_agent_steps_sampled/default_agent,env_runners/num_agent_steps_sampled_lifetime/default_agent,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/weights_seq_no,learners/default_policy/module_train_batch_size_mean,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/vf_explained_var,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/vf_loss_unclipped,learners/default_policy/policy_loss,learners/default_policy/entropy,learners/default_policy/curr_entropy_coeff,learners/default_policy/mean_kl_loss,learners/default_policy/num_module_steps_trained,learners/default_policy/total_loss,learners/default_policy/curr_kl_coeff,learners/default_policy/vf_loss,learners/default_policy/num_trainable_parameters,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/get_actions,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad
1,4005.0,False,1,7fe6f_00000,2026-03-22_19-19-16,1774221556,4.953578472137451,4.953578472137451,8008,David_Laptop,127.0.0.1,4.953578472137451,1,4.945180999580771,2.440018579363823e-05,4.944822799880058,0.4340634997934103,4.503579400014132,0.006366199813783169,28,0.0005547251785174012,169.32346503597472,0.39053947490174323,0.00015262964271446955,193,-134.60472943261266,-67.71666398644447,4005.0,-105.740621021837,0.0,4005.0,47.0,73.52,0.000767130538005295,47.0,169.32346503597472,0.10565510501619428,nan,4,0,4,24.95,93.575,0.00019606874307619908,0.0025225752945684616,4005.0,-105.740621021837,4005.0,-105.740621021837,4005.0,4005.0,4068,1293624,40704,1293624,0,4005,40704,136965,nan,nan,40704,1.0,128.0,0.0001,-0.02301991,1.0,3725.726,0.057592746,1.3746163,0.01,0.009787257,40704,4.6299562,0.20000000298023224,9.1683035,136965,nan,0.42508050007745624,4.641344363854644e-06,3.389479209376093e-05,5.690761490048854e-05,1.4730725077322464e-05,2.009379170226733e-06,2.0990461484105186e-06,4.4001107248709196e-05,6.194824358262985e-05,9.042166123897051e-05,0.00011734830972087872,0.002095947461760143,0.10119989980012178,0.01074680034071207,0.2347583998925984,0.0009206999093294144,1.3999640941619873e-05,0.0007751001976430416,0.07541090017184615,9.180000051856041e-05
1,8011.0,False,2,7fe6f_00000,2026-03-22_19-19-21,1774221561,4.491637468338013,9.445215940475464,8008,David_Laptop,127.0.0.1,9.445215940475464,2,4.940503171584569,2.435718197375536e-05,4.940143133881502,0.43339449879713354,4.4995801100134845,0.006356111816130578,40,0.0005547251785174012,208.3039989154468,0.3900730624026619,0.00011859710502915236,202,-159.2202524393797,-68.21740493178368,4006.0,-92.78843574479222,1.0,8011.0,89.0,91.15,0.0002255703106995215,42.0,208.3039989154468,0.1205686120595783,811.5560229469189,4,0,4,25.75,93.91666666666667,0.0001583131394001667,0.000775590452063139,4006.0,-92.78843574479222,8011.0,-92.78843574479222,4006.0,8011.0,4067.9500000000003,2585658,81408,1292034,0,4005.0099999999998,40704,136965,nan,nan,81408,2.0,128.0,0.0001,-0.015613556,1.0,2496.7532,0.16189976,1.3628391,0.01,0.009707656,40704,4.9004145,0.20000000298023224,9.500402,136965,nan,0.4229532070783898,2.4481315425561023e-06,3.100973324001231e-05,4.797463493342563e-05,1.3377675896437222e-05,1.7826065264464673e-06,1.8663093767178866e-06,4.123893119625133e-05,5.649554690290432e-05,6.885089123327213e-05,7.890433986207284e-05,0.0004418113706614863,0.10117900379933416,0.010714763337746262,0.23308838689699768,0.000914987907744944,1.3966644182801246e-05,0.0007744741952046753,0.07502136417198926,9.14630014449358e-05
1,12018.0,False,3,7fe6f_00000,2026-03-22_19-19-25,1774221565,4.38986611366272,13.835082054138184,8008,David_Laptop,127.0.0.1,13.835082054138184,3,4.934841428865353,2.4308610474690796e-05,4.934479676541919,0.43276657881075514,4.494569205915927,0.006333179696509614,36,0.0005547251785174012,248.21536061250362,0.38962382502953985,0.00011447305382432508,175,-125.90733927488327,-68.83996745571494,4007.0,-90.31487616971135,2.0,12018.0,130.0,94.05,0.00017952934677822408,41.0,248.21536061250362,0.12576183405239136,815.3388942845353,4,0,4,24.11666666666667,93.75,0.00015527704176402396,0.0006399883285666507,4007.0,-90.31487616971135,12018.0,-90.31487616971135,4007.0,12018.0,4067.9105,3878010,122112,1292352,0,4005.0299,40704,136965,292935.7896286378,9226.30735214121,122112,3.0,128.0,0.0001,-0.003766656,1.0,1917.5953,0.07867124,1.3606031,0.01,0.0030473648,40704,4.789968,0.10000000149011612,9.448586,136965,9226.302123581901,0.42102632200778456,2.318692929741404e-06,3.049222948862177e-05,4.6382069176943807e-05,1.3145147519721311e-05,1.8863147986184176e-06,1.9074687200458647e-06,4.0678411879316067e-05,5.635808478783369e-05,6.684226623893657e-05,7.554215107837601e-05,0.0003133195843201075,0.10132140076169743,0.010688123707380145,0.23148602902702986,0.0009094900285359471,1.4000981394201515e-05,0.0007729094537440688,0.07459412753204815,9.309537103399635e-05
1,16022.0,False,4,7fe6f_00000,2026-03-22_19-19-30,1774221570,4.476838827133179,18.311920881271362,8008,David_Laptop,127.0.0.1,18.311920881271362,4,4.930095553575869,2.4260524690616877e-05,4.929731614778041,0.43218627102348484,4.490401954857497,0.006334266899954062,48,0.0005547251785174012,199.59323804871937,0.3892552160289737,0.00011868138684094427,234,-219.3011319041252,-68.0578994601965,4004.0,-97.88284613542258,3.0,16022.0,174.0,97.67,0.00018364955833843267,44.0,199.59323804871937,0.1360055529884994,819.9184989096477,4,0,4,23.685714285714283,93.91428571428571,0.0001614611854851207,0.0006405463787539645,4004.0,-97.88284613542258,16022.0,-97.88284613542258,4004.0,16022.0,4067.8713949999997,5170362,162816,1292352,0,4005.019601,40704,136965,292666.80650444067,9217.836269209258,162816,4.0,128.0,0.0001,0.0066345334,1.0,2153.5044,0.0390184,1.3639733,0.01,0.004875284,40704,4.888378,0.05000000074505806,9.725024,136965,9217.831120684092,0.4202589267913284,2.334584211321143e-06,3.202631907391358e-05,4.875084377824725e-05,1.4250548132365517e-05,1.8245603057932071e-06,1.914932999628365e-06,4.0962129565025496e-05,5.734142744576187e-05,6.734106692812034e-05,7.578425308086467e-05,0.0003089262115551731,0.101187159756626,0.010663728472081012,0.23127725673617794,0.0009036531274472363,1.3979971322230992e-05,0.0007715903591210954,0.07420996925829956,9.276441723573952e-05
1,20031.0,False,5,7fe6f_00000,2026-03-22_19-19-34,1774221574,4.243182897567749,22.55510377883911,8008,David_Laptop,127.0.0.1,22.55510377883911,5,4.923087091044462,2.4206917390390303e-05,4.922720737628096,0.43173699631537293,4.483860625309717,0.006315160232513123,44,0.0005547251785174012,194.55205623167393,0.38885237862016964,0.00011535785650297968,136,-152.74879403412342,-66.69727988168597,4009.0,-89.44637076776475,4.0,20031.0,217.0,88.57,0.00018045205885767383,43.0,194.55205623167393,0.1195924819726497,823.3505637600173,4,0,4,21.266666666666666,94.0,0.00016082320177710256,0.0006324180004937605,4009.0,-89.44637076776475,20031.0,-89.44637076776475,4009.0,20031.0,4067.8726810499993,6463986,203520,1293624,0,4005.05940499,40704,136965,293180.6890442519,9233.553305072064,203520,5.0,128.0,0.0001,0.039120674,1.0,1871.9459,0.13038218,1.3694519,0.01,0.0069300407,40704,4.894068,0.05000000074505806,9.554067,136965,9233.54864842858,0.41808491052515007,2.322412070395969e-06,3.1548794239659125e-05,4.885848270104446e-05,1.42827079733444e-05,1.796567933993249e-06,1.9514062534760742e-06,4.215886925970897e-05,5.655090750816122e-05,6.834230313011682e-05,7.709107171489013e-05,0.0003002461797730547,0.10109948216251508,0.01063739118413112,0.22968725017052496,0.000897564595337226,1.3928172279084098e-05,0.0007699814543013135,0.07375697156683224,9.222777487649582e-05
1,24032.0,False,6,7fe6f_00000,2026-03-22_19-19-39,1774221579,4.357723712921143,26.912827491760254,8008,David_Laptop,127.0.0.1,26.912827491760254,6,4.917277161134822,2.418884526552004e-05,4.916908422251962,0.43119024835324876,4.478621107058616,0.006287087630705717,42,0.0005547251785174012,162.70608623263013,0.38840272183273544,0.00011641560681806323,130,-128.77584309875965,-69.34097420424223,4001.0,-88.48009749811143,5.0,24032.0,268.0,76.53,0.00017695206595199888,51.0,162.70608623263013,0.10162247803527862,829.1970885772627,4,0,4,23.0,94.11666666666667,0.00015604339384177532,0.000625655192746589,4001.0,-88.48009749811143,24032.0,-88.48009749811143,4001.0,24032.0,4067.873954239499,7757610,244224,1293624,0,4005.0188109401,40704,136965,293293.04282524955,9236.658707943545,244224,6.0,128.0,0.0001,-0.024271369,1.0,2222.281,0.005428606,1.3646832,0.01,0.006284318,40704,4.5617647,0.05000000074505806,9.139338,136965,9236.654156709641,0.41608392442111847,2.365096858471786e-06,3.07158083334553e-05,4.6427263618280194e-05,1.3418223109887125e-05,1.756029662515728e-06,1.9050494166199842e-06,4.09690575897188e-05,5.585181514201582e-05,6.931258472657918e-05,7.536285288446172e-05,0.0002960483539261751,0.10101726034079497,0.010617427271347459,0.2282366086711803,0.0008932969479799855,1.389389251996828e-05,0.0007693276398589725,0.07332199785025578,9.179649504568102e-05
1,28037.0,False,7,7fe6f_00000,2026-03-22_19-19-43,1774221583,4.450080156326294,31.362907648086548,8008,David_Laptop,127.0.0.1,31.362907648086548,7,4.912469489522596,2.413695593131214e-05,4.912099103031014,0.43060305686691036,4.474424356988666,0.006261331756449656,36,0.0005547251785174012,181.89722073885315,0.38796988986420766,0.00011559072880259661,145,-151.10697770118713,-69.14820820093155,4005.0,-90.50236882112921,6.0,28037.0,312.0,85.7,0.00018439382965992828,44.0,181.89722073885315,0.1129309990303591,833.5185284599788,4,0,4,20.3,94.16666666666667,0.00015552898881788705,0.0006282745785601537,4005.0,-90.50236882112921,28037.0,-90.50236882112921,4005.0,28037.0,4067.835214697104,9049962,284928,1292352,0,4005.0186228306993,40704,136965,293073.91253459256,9229.802035190021,284928,7.0,128.0,0.0001,-0.048424125,1.0,2611.4097,0.11318157,1.3622001,0.01,0.0058667334,40704,4.63998,0.05000000074505806,9.080254,136965,9229.79755896118,0.4155425021756066,2.272982350746407e-06,3.111806031901733e-05,4.680514755563207e-05,1.3547703027981809e-05,1.8016595732627933e-06,1.8843887236874835e-06,3.960600935585065e-05,5.6375971659245815e-05,6.776087679831836e-05,7.589831238104758e-05,0.0003011003878062736,0.10093201773713341,0.010587438999003475,0.2282264085842163,0.0008903999778951389,1.3848951982224539e-05,0.0007677653624145597,0.07291849587480272,9.138653396338683e-05
1,32042.0,False,8,7fe6f_00000,2026-03-22_19-19-47,1774221587,4.301034212112427,35.663941860198975,8008,David_Laptop,127.0.0.1,35.663941860198975,8,4.906253287628385,2.4140589401703112e-05,4.905881162003346,0.43007437829696527,4.468750899419009,0.006247129438473827,42,0.0005547251785174012,193.4474814418389,0.3875523379669755,0.00011630046574159767,166,-155.24009330570698,-68.02684335038066,4005.0,-88.01784958519042,7.0,32042.0,358.0,92.95,0.00017971142990169287,46.0,193.4474814418389,0.12042093695141375,836.5511804702138,4,0,4,23.24285714285714,93.9,0.00015603488488736368,0.0006225055484011125,4005.0,-88.01784958519042,32042.0,-88.01784958519042,4005.0,32042.0,4067.8268625501332,10343268,325632,1293306,0,4005.0184366023923,40704,136965,293364.7860209776,9238.65988317938,325632,8.0,128.0,0.0001,-0.052544355,1.0,2223.867,0.026341993,1.3571773,0.01,0.014435079,40704,4.6357937,0.05000000074505806,9.244602,136965,9238.655641695383,0.41346134115308913,2.328014011271701e-06,3.0669569657001746e-05,4.767078720306154e-05,1.3337368789051685e-05,1.7825077505507288e-06,1.8567770447291769e-06,3.9488799247040904e-05,5.6371550424285e-05,6.643309555813192e-05,7.524204223866819e-05,0.0002964671164371981,0.10080845256039805,0.010565831606887222,0.22673463950008507,0.0008856769785202474,1.3846463497973393e-05,0.0007669207061050461,0.07247803591313555,9.096066768301285e-05
1,36045.0,False,9,7fe6f_00000,2026-03-22_19-19-52,1774221592,4.556566476821899,40.220508337020874,8008,David_Laptop,127.0.0.1,40.220508337020874,9,4.902590037750507,2.4048181149785938e-05,4.9022169443821015,0.42998990651142505,4.465197810424835,0.006220305144275234,56,0.0005547251785174012,209.4906715371272,0.38752026558642594,0.00012740506869940552,184,-154.31205017864704,-69.66818898916245,4003.0,-89.09792387060821,8.0,36045.0,403.0,95.55,0.00020958907805023477,45.0,209.4906715371272,0.13996987707912922,840.5766266315115,4,0,4,23.250000000000004,93.61666666666667,0.0001777652673314633,0.0007202197115767295,4003.0,-89.09792387060821,36045.0,-89.09792387060821,4003.0,36045.0,4067.778593924632,11635302,366336,1292034,0,4004.9982522363684,40704,136965,292828.749692836,9221.944767323592,366336,9.0,128.0,0.0001,-0.0064696074,1.0,1885.0592,-0.094874255,1.3615628,0.01,0.005744205,40704,4.6620464,0.05000000074505806,9.540501,136965,9221.940767075923,0.41138235374090465,2.7134765509338007e-06,3.361556258824375e-05,5.741337554527366e-05,1.4914770540583218e-05,2.3208482181529874e-06,2.0685975654817177e-06,4.355161351066992e-05,6.387161968855396e-05,7.274058514289327e-05,8.780449993346945e-05,0.00035464483450955753,0.10072058403357033,0.010551803292370753,0.22518337410129213,0.0008801902087845168,1.381199965490097e-05,0.000765992500314707,0.0720663975565644,9.061805950283437e-05
1,40053.0,False,10,7fe6f_00000,2026-03-22_19-19-56,1774221596,4.523991823196411,44.744500160217285,8008,David_Laptop,127.0.0.1,44.744500160217285,10,4.898549977372283,2.3990699567587147e-05,4.898175441938918,0.42952947144766834,4.461643417320684,0.006195728092953718,51,0.0005547251785174012,208.94629704387748,0.38721247342965204,0.00011862867470232047,164,-107.38702987879515,-68.81001455336809,4008.0,-80.18725975699722,9.0,40053.0,443.0,91.15,0.00018277057648213697,40.0,208.94629704387748,0.12762548501603305,842.6707197409648,4,0,4,24.142857142857142,93.57142857142858,0.00016060221007636148,0.0006366003989228926,4008.0,-80.18725975699722,40053.0,-80.18725975699722,4008.0,40053.0,4067.7408079853853,12927654,407040,1292352,0,4005.0282697140046,40704,136965,292425.5271854958,9209.296479925712,407040,10.0,128.0,0.0001,0.012357593,1.0,1481.4656,0.0031695287,1.3689861,0.01,0.006901163,40704,4.645552,0.05000000074505806,9.311454,136965,9209.292432687933,0.41071151520451576,2.4131848992845747e-06,3.262154572218339e-05,4.840179886139579e-05,1.361404257556639e-05,1.8819174330206246e-06,1.87599204411385e-06,4.081305288397626e-05,5.750251084594626e-05,6.755527821359467e-05,7.6011491280455e-05,0.0003057675701400521,0.10060959719438625,0.01051815525954867,0.22505588336249424,0.0008747023063197318,1.3761875671814505e-05,0.0007641125774138158,0.07168390558090029,9.007687819463645e-05
