num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/env_to_module_sum_episodes_length_in,env_runners/episode_return_max,env_runners/num_env_steps_sampled_lifetime,env_runners/weights_seq_no,env_runners/env_step_timer,env_runners/env_to_module_sum_episodes_length_out,env_runners/episode_len_min,env_runners/episode_len_mean,env_runners/num_episodes,env_runners/sample,env_runners/episode_return_mean,env_runners/episode_return_min,env_runners/env_reset_timer,env_runners/rlmodule_inference_timer,env_runners/num_episodes_lifetime,env_runners/num_env_steps_sampled,env_runners/episode_duration_sec_mean,env_runners/episode_len_max,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/agent_episode_return_mean/default_agent,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/module_episode_return_mean/default_policy,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/num_module_steps_sampled/default_policy,env_runners/num_agent_steps_sampled/default_agent,learners/default_policy/policy_loss,learners/default_policy/weights_seq_no,learners/default_policy/total_loss,learners/default_policy/vf_explained_var,learners/default_policy/mean_kl_loss,learners/default_policy/vf_loss,learners/default_policy/curr_entropy_coeff,learners/default_policy/entropy,learners/default_policy/vf_loss_unclipped,learners/default_policy/num_trainable_parameters,learners/default_policy/module_train_batch_size_mean,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/num_module_steps_trained,learners/default_policy/curr_kl_coeff,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch
1,4008.0,False,1,b30df_00000,2026-02-27_17-00-34,1772229634,4.083867788314819,4.083867788314819,28356,David_Laptop,127.0.0.1,4.083867788314819,1,4.072631499962881,2.4900073185563087e-05,4.072127999970689,0.3642192000988871,3.7026852001436055,0.004581799963489175,176.03418718425894,-75.44706431031227,4008.0,0.0,0.0001301821330293947,176.03418718425894,38,76.72,40.0,0.33316879998892546,-100.98558789685369,-163.13945771753788,0.0005408499855548143,0.0004389364367099576,40.0,4008.0,0.09489259895402938,157,nan,4,0,4,21.833333333333332,94.11666666666667,0.0011046110785227733,-100.98558789685369,4008.0,-100.98558789685369,0.00019179906864411262,4008.0,4008.0,4008.0,-0.04846067,1.0,4.6608434,-0.018499613,0.003815089,9.444477,0.01,1.369757,2573.6067,136965,128.0,40704,40704,0.10000000149011612,1.0,0.0001,nan,0,1292352,4064,4008,1292352,136965,40704,40704,nan,nan,0.41440570005215704,8.760076020498376e-05,4.091592768146659e-05,0.0007095113369456021,5.75012860937693e-05,0.00010788224873289036,1.97121199640643e-06,4.986042710965539e-06,5.135757347346659e-05,1.9657680660477086e-06,1.4633738433880185e-05,3.3385287503889416e-05,0.07124339998699725,0.2264545001089573,0.09208890004083514,0.008712500100955367,7.479987107217312e-05,0.01349020004272461,0.0012568000238388777,1.2500211596488953e-05
1,8012.0,False,2,b30df_00000,2026-02-27_17-00-38,1772229638,3.8680813312530518,7.951949119567871,28356,David_Laptop,127.0.0.1,7.951949119567871,2,4.070503051963169,2.4848072789609433e-05,4.0699982919706965,0.3641678490978666,3.700593450141605,0.004591374965384603,178.21317883664085,-77.60130558907986,8012.0,1.0,0.00010905626584593008,178.21317883664085,41,88.26,48.0,0.3330577124893898,-101.9936383613944,-222.40863132476807,0.0005408499855548143,0.00018675789674354112,88.0,4004.0,0.1086593449790962,253,973.166962620428,4,0,4,24.549999999999997,93.83333333333333,0.0006216290062371829,-101.9936383613944,8012.0,-101.9936383613944,0.00015329320769721136,8012.0,4004.0,4004.0,0.11573895,2.0,4.991633,-0.021728039,0.00758427,9.777664,0.01,1.3696439,2643.1357,136965,128.0,81408,40704,0.10000000149011612,1.0,0.0001,nan,0,2585976,4064.04,4007.96,1293624,136965,81408,40704,nan,nan,0.41223220705054703,6.63867735496287e-05,3.9089029317345675e-05,0.0003020147925437461,5.302662874137556e-05,7.421833901216014e-05,1.823501982714399e-06,2.7460435502053964e-06,4.484042374807804e-05,2.0706957501712997e-06,1.2757259603648379e-05,2.9907861531992716e-05,0.07079141998896375,0.22490514910779894,0.09206425904063509,0.008704278098884969,7.448687218129635e-05,0.013365234041120857,0.0012507450254634022,1.2474209070205688e-05
1,12020.0,False,3,b30df_00000,2026-02-27_17-00-42,1772229642,4.075311183929443,12.027260303497314,28356,David_Laptop,127.0.0.1,12.027260303497314,3,4.070427898442256,2.481559137813747e-05,4.069922913050302,0.3639657506064279,3.700725389641826,0.004586200215108693,186.25284665092414,82.6184259802103,12020.0,2.0,0.00010732765452433532,186.25284665092414,51,88.5,44.0,0.3329416618645831,-92.99201333969832,-131.29937317967415,0.0005408499855548143,0.00016492082542288286,132.0,4008.0,0.10925510499626398,165,976.2033305697424,4,0,4,25.11666666666667,93.66666666666669,0.0005763510749219945,-92.99201333969832,12020.0,-92.99201333969832,0.00014788467600275668,12020.0,4008.0,4008.0,0.031021517,3.0,4.667824,-0.009766579,0.007175865,9.299669,0.01,1.3749981,2011.667,136965,128.0,122112,40704,0.10000000149011612,1.0,0.0001,9942.08146434124,0,3879600,4064.0795999999996,4007.9604,1293624,136965,122112,40704,315926.18687420455,9940.12432859977,0.4100969299798832,6.3836331107487e-05,3.866901190577811e-05,0.00026574394750989377,5.303716233673879e-05,7.139473385401052e-05,1.8275186281532104e-06,2.6469278910540035e-06,4.3701926384235795e-05,1.8080737797593586e-06,1.2469031040353758e-05,2.909825580562632e-05,0.07031827978861983,0.223430607616622,0.09203055945059752,0.008693262318219057,7.438600370660424e-05,0.01323612170035485,0.0012444435735698787,1.2466466706246138e-05
1,16024.0,False,4,b30df_00000,2026-02-27_17-00-47,1772229647,4.360216379165649,16.387476682662964,28356,David_Laptop,127.0.0.1,16.387476682662964,4,4.073182526456691,2.480343726137653e-05,4.0726660159193395,0.3639916190997495,3.703424481746884,0.004599144213700668,183.93490226175635,-77.11450746655464,16024.0,3.0,0.00011110340639609437,183.93490226175635,57,82.44,44.0,0.33291227749547275,-85.88627651140094,-135.0928700864315,0.0005408499855548143,0.00017349504172030618,176.0,4004.0,0.10376821901183575,132,976.0113771149937,4,0,4,27.816666666666666,93.75,0.0005990287386431685,-85.88627651140094,16024.0,-85.88627651140094,0.00015269478817551692,16024.0,4004.0,4004.0,-0.052872725,4.0,4.6219974,-0.001562357,0.0065439777,9.375734,0.01,1.3651317,1775.587,136965,128.0,162816,40704,0.10000000149011612,1.0,0.0001,9910.073081612694,0,5171952,4064.0788039999993,4007.920796,1292352,136965,162816,40704,314898.6606949477,9908.228545044703,0.40933258067794703,6.567321332762391e-05,3.8761311095260484e-05,0.00027916326800723454,5.47775874233149e-05,7.43741016028431e-05,1.854051423949589e-06,2.7424906777033782e-06,4.5591537432930364e-05,1.8423391570958792e-06,1.3057830650857622e-05,3.0139473892905315e-05,0.06992971999176521,0.22324965553880016,0.09198285985555757,0.008688593695121117,7.414614285062997e-05,0.01310711748446594,0.0012383381383721714,1.2454804063774644e-05
1,20032.0,False,5,b30df_00000,2026-02-27_17-00-50,1772229650,3.6438283920288086,20.031305074691772,28356,David_Laptop,127.0.0.1,20.031305074691772,5,4.068793865191387,2.476440331603866e-05,4.068276890759621,0.36387616190849753,3.6991326289287607,0.004616474771769178,232.4277992693871,-74.30078274011612,20032.0,4.0,0.00011156411971466485,232.4277992693871,51,96.01,40.0,0.3329038684715361,-94.15062917888164,-164.73578895628452,0.0005408499855548143,0.00017159420869582642,216.0,4008.0,0.12071753999916837,210,973.0637211736037,4,0,4,23.359999999999996,93.82000000000001,0.0005901723607377817,-94.15062917888164,20032.0,-94.15062917888164,0.00015434783813177751,20032.0,4008.0,4008.0,-0.033451863,5.0,4.8681483,-0.0013238192,0.0062220423,9.829187,0.01,1.3616565,1898.9247,136965,128.0,203520,40704,0.10000000149011612,1.0,0.0001,9968.57098222848,0,6464304,4064.078015959999,4007.9215880399997,1292352,136965,203520,40704,316743.22722586204,9966.917527539976,0.4072324358711656,6.50900979246062e-05,3.875012501179716e-05,0.00027345508851251343,5.541374818607692e-05,7.215572940597148e-05,1.853128991713471e-06,2.7297216006119172e-06,4.567548674254503e-05,1.8550064776185608e-06,1.2912449751674052e-05,3.121540693400841e-05,0.06950913579185454,0.22171446998337932,0.09199213625710674,0.008674672758460329,7.380968101353384e-05,0.012981787310262416,0.0012316937576143583,1.2412256647525354e-05
1,24040.0,False,6,b30df_00000,2026-02-27_17-00-54,1772229654,3.8793797492980957,23.910684823989868,28356,David_Laptop,127.0.0.1,23.910684823989868,6,4.066793458538786,2.471375961878025e-05,4.066276159851412,0.3643850282903499,3.696635531638138,0.004603931022780506,215.10414227567276,-77.40196579694748,24040.0,5.0,0.00012633687443694376,215.10414227567276,64,98.57,36.0,0.33324974853642314,-90.81220293566585,-135.4972948282957,0.0005408499855548143,0.00019542286305259448,252.0,4008.0,0.14146326199173928,178,978.1577758436918,4,0,4,27.0,94.13333333333333,0.0006282325064592764,-90.81220293566585,24040.0,-90.81220293566585,0.00016382332143751282,24040.0,4008.0,4008.0,-0.033844627,6.0,4.797695,-0.003113389,0.004021191,9.689746,0.01,1.3735757,1535.9137,136965,128.0,244224,40704,0.05000000074505806,1.0,0.0001,9991.362161041312,0,7755384,4064.037235800399,4007.9223721595995,1291080,136965,244224,40704,317438.50876660825,9989.791045355229,0.40509223351201573,6.98947981573659e-05,3.998384544484797e-05,0.0002928143623730852,5.776038509429642e-05,7.821904378866096e-05,1.9397258350076746e-06,2.8578499159466625e-06,4.9471449564688266e-05,1.8715857665255173e-06,1.4161030110972823e-05,3.2746705082271256e-05,0.06909576343354906,0.22019915728417735,0.09192342889409391,0.008671807032795232,7.35165840993884e-05,0.012855532435186402,0.0012253068209543382,1.2383133640273752e-05
1,28047.0,False,7,b30df_00000,2026-02-27_17-00-58,1772229658,4.055503845214844,27.966188669204712,28356,David_Laptop,127.0.0.1,27.966188669204712,7,4.066554394953584,2.4743622967653893e-05,4.066033998251805,0.3644358840078341,3.6963494083218285,0.0045963617144439564,210.01885529649644,-78.31638185679913,28047.0,6.0,0.00011315917620876656,210.01885529649644,66,104.21,42.0,0.3333740135510498,-92.14883503347636,-118.45171348750591,0.0005408499855548143,0.00018086494160332806,294.0,4007.0,0.13774910398060455,170,981.163392697034,4,0,4,25.52,94.11999999999999,0.0006081109855998151,-92.14883503347636,28047.0,-92.14883503347636,0.0001571419142948363,28047.0,4007.0,4007.0,0.07229045,7.0,4.786516,-0.0026971102,0.0054537,9.455143,0.01,1.3617935,1815.4154,136965,128.0,284928,40704,0.05000000074505806,1.0,0.0001,9990.989066689686,0,9047418,4064.0268634423946,4007.9131484380036,1292034,136965,284928,40704,317412.14604006865,9989.496519046537,0.4040185691764871,6.715876291851583e-05,4.0054935578490764e-05,0.0002829634583543506,5.6567604610518554e-05,7.445818003149993e-05,1.9184497063201452e-06,2.7725214529707493e-06,4.731956346242906e-05,1.8458517014606887e-06,1.3195488050864376e-05,3.13079398185046e-05,0.06866223379896334,0.2197567757104707,0.09187629460542268,0.008657937964202727,7.316141649528912e-05,0.012731621111271648,0.0012200517524799713,1.2347302973946431e-05
1,32054.0,False,8,b30df_00000,2026-02-27_17-01-02,1772229662,3.775247097015381,31.741435766220093,28356,David_Laptop,127.0.0.1,31.741435766220093,8,4.063539864004916,2.472918734800109e-05,4.063018926269483,0.3641757801662832,3.693601112239503,0.004589480096865923,269.89432346594464,-77.35855431854725,32054.0,7.0,0.0001067782731694545,269.89432346594464,60,107.72,32.0,0.33318905366529705,-95.23052820950747,-126.49678659439087,0.0005408499855548143,0.00016391001798917964,326.0,4007.0,0.13146094798110425,193,981.6051417034241,4,0,4,23.916666666666668,94.2,0.0005704286224933215,-95.23052820950747,32054.0,-95.23052820950747,0.00014801069551048776,32054.0,4007.0,4007.0,0.004829284,8.0,4.7790956,-0.005216241,0.00556943,9.575142,0.01,1.3583535,1372.2781,136965,128.0,325504,40576,0.05000000074505806,1.0,0.0001,10025.196191541592,0,10332853,4063.936594807971,4007.904016953624,1285435,136965,325504,40576,318450.7665446561,10023.7791278375,0.40198272948475283,6.398374649713899e-05,3.8417184334484514e-05,0.0002612757493753846,5.315037981588967e-05,7.052000179116343e-05,1.7934147400194112e-06,2.5934245516246083e-06,4.298514083893059e-05,1.752929635369343e-06,1.2649428893276775e-05,2.9690583394347464e-05,0.06826864146173113,0.21828234595325077,0.09186943165768686,0.008636570582859463,7.281580294122422e-05,0.012607329901073864,0.0012128212355463008,1.2345830873175157e-05
1,36060.0,False,9,b30df_00000,2026-02-27_17-01-06,1772229666,3.643350839614868,35.38478660583496,28356,David_Laptop,127.0.0.1,35.38478660583496,9,4.059243218364303,2.4690895901796972e-05,4.058721966006072,0.364009393365443,3.6894547291175726,0.0046014582953567695,245.8019581008326,-79.91408076882362,36060.0,8.0,0.00010582860174266884,245.8019581008326,60,127.1,38.0,0.3330773596282497,-101.95174708873033,-149.61359931528568,0.0005408499855548143,0.00016162847893075766,364.0,4006.0,0.156404537986964,275,985.1474979350551,4,0,4,23.759999999999998,94.64,0.0005714827984729698,-101.95174708873033,36060.0,-101.95174708873033,0.00014814444305095287,36060.0,4006.0,4006.0,-0.05911958,9.0,4.785582,-0.011605501,0.0055014184,9.715889,0.01,1.3517627,1269.4568,136965,128.0,366208,40704,0.05000000074505806,1.0,0.0001,10079.427235185458,0,11623933,4063.897228859891,4007.8849767840875,1291080,136965,366208,40704,320147.70419949753,10078.080630496012,0.3999173151903996,6.399131369858148e-05,3.8794116508474704e-05,0.0002625074799926725,5.300617703187829e-05,7.019347685053883e-05,1.7919636745120345e-06,2.6173616846198067e-06,4.308999798818664e-05,1.8034492456065963e-06,1.272897509298781e-05,2.9377058601605807e-05,0.0678108930485975,0.21682297349249394,0.09186959134115684,0.008619874876678753,7.244764532472316e-05,0.012484143601927256,0.0012118240229645786,1.2314370936670358e-05
1,40066.0,False,10,b30df_00000,2026-02-27_17-01-10,1772229670,3.9672932624816895,39.35207986831665,28356,David_Laptop,127.0.0.1,39.35207986831665,10,4.058218639181141,2.4595988100181992e-05,4.057698588347382,0.3638337554321539,3.688610864827919,0.0045950297111507,225.49462861470346,-76.42097187042236,40066.0,9.0,0.00011048102270001789,225.49462861470346,66,108.65,38.0,0.33295130078213975,-95.1429177723825,-155.86633518338203,0.0005408499855548143,0.00016937344571513137,402.0,4006.0,0.13198018502211198,222,990.6108154310093,4,0,4,22.533333333333335,94.33333333333333,0.0005809964701905062,-95.1429177723825,40066.0,-95.1429177723825,0.00015045321368548415,40066.0,4006.0,4006.0,-0.008551944,10.0,4.6098146,0.0017956495,0.011605522,9.262166,0.01,1.3295988,1499.3385,136965,128.0,406912,40704,0.05000000074505806,1.0,0.0001,10085.976084017613,0,12915013,4063.8582565712923,4007.8661270162465,1291080,136965,406912,40704,320333.3750143234,10084.695887514057,0.3988856420382907,6.408425084158926e-05,3.8260610748759377e-05,0.0002684829140190791,5.347135534815825e-05,7.177665557557232e-05,1.8096043063318986e-06,2.6204375563390455e-06,4.403491757238872e-05,1.7566390379406084e-06,1.2790523007435952e-05,3.0120656361125196e-05,0.06738190511863613,0.21641183475731382,0.09182899142710536,0.00860494412808628,7.206416797555852e-05,0.012362454164297494,0.001205357781534227,1.227822672561136e-05
